sex,race,income
Female,White,0
Female,White,0
Female,Black,0
Female,White,0
Female,White,0
Female,White,0
Male,White,0
Female,White,1
Female,White,0
Male,White,1
Female,Black,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,Black,1
Male,White,1
Male,White,1
Female,White,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,Black,1
Female,White,1
Male,White,1
Female,White,1
Female,White,1
Female,White,1
Male,White,1
Female,White,1
Female,White,1
Female,White,1
Male,White,0
Female,White,1
Male,White,0
Male,Asian-Pac-Islander,0
Female,White,0
Male,White,0
Male,White,1
Female,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,Asian-Pac-Islander,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,Asian-Pac-Islander,1
Male,White,1
Male,White,1
Male,Asian-Pac-Islander,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,Asian-Pac-Islander,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,0
Male,White,1
Female,White,1
Male,White,0
Male,White,1
Female,Black,0
Male,White,0
Male,White,0
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,Black,0
Male,White,0
Male,White,1
Male,White,0
Male,White,0
Male,White,1
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Male,White,0
Male,Black,0
Female,White,0
Male,White,0
Male,Asian-Pac-Islander,0
Female,White,0
Female,Black,0
Female,Black,0
Male,White,0
Female,White,0
Female,White,0
Male,White,0
Female,Black,0
Male,White,0
Female,White,0
Male,White,1
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Male,Asian-Pac-Islander,0
Female,Asian-Pac-Islander,0
Male,White,1
Male,White,1
Female,White,1
Male,White,0
Male,White,1
Male,White,1
Male,White,1
Male,White,0
Female,White,1
Male,White,0
Male,White,0
Female,White,0
Female,White,1
Male,White,0
Male,White,1
Female,White,1
Male,White,0
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,0
Female,White,0
Male,White,1
Male,White,1
Male,White,1
Male,Black,0
Female,White,0
Female,White,0
Female,White,0
Female,White,0
Female,Black,0
Male,White,0
Male,White,0
Female,White,0
Female,White,0
Male,White,0
Female,Black,0
Female,White,0
Male,Black,0
Female,White,0
Male,Asian-Pac-Islander,1
Male,White,0
Male,Other,0
Male,Other,0
Male,White,0
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,Black,0
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,Black,1
Male,White,1
Male,Asian-Pac-Islander,0
Male,White,0
Male,White,0
Female,Asian-Pac-Islander,0
Male,White,0
Male,White,0
Male,Asian-Pac-Islander,0
Male,Asian-Pac-Islander,0
Male,White,0
Female,White,0
Male,White,0
Female,White,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,Asian-Pac-Islander,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Male,Black,0
Female,Black,0
Male,White,0
Male,White,0
Male,White,0
Female,White,0
Female,White,0
Male,Black,0
Female,White,0
Male,Black,0
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Male,White,0
Female,Black,0
Male,White,0
Male,Asian-Pac-Islander,0
Female,White,0
Male,White,0
Male,Black,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Female,White,0
Female,White,0
Female,Black,0
Female,White,0
Male,White,0
Male,White,0
Female,White,0
Male,Amer-Indian-Eskimo,0
Male,White,0
Male,White,0
Female,White,0
Male,White,0
Male,White,0
Male,White,0
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Female,White,1
Female,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,Black,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,White,1
Male,White,1
Male,White,1
Male,Asian-Pac-Islander,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Female,Black,1
Male,White,1
Male,Asian-Pac-Islander,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
Male,White,1
